time,tracking_id,end,x,y,radius,minor_radius,pressure,edge,latest_tool_type,msc_timestamp
1644986718.438177,12,0,9588.0,4424.0,18.0,10.0,127.0,3372.0,2,0
1644986718.449020,12,0,9588.0,4638.0,20.0,10.0,127.0,3372.0,2,0
1644986718.456922,12,0,9804.0,4638.0,26.0,12.0,127.0,3156.0,2,0
1644986718.467220,12,0,9588.0,4852.0,28.0,14.0,127.0,3372.0,2,0
1644986718.527629,12,0,8944.0,4852.0,32.0,26.0,127.0,3788.0,2,0
1644986718.548224,12,0,8944.0,4852.0,40.0,34.0,127.0,3788.0,2,0
1644986718.637128,12,0,7658.0,3356.0,22.0,18.0,127.0,3356.0,2,0
1644986718.647987,12,0,8944.0,4852.0,32.0,26.0,127.0,3788.0,2,0
1644986718.658049,12,0,9588.0,4852.0,30.0,14.0,127.0,3372.0,2,0
1644986718.667804,12,0,9588.0,4852.0,28.0,12.0,127.0,3372.0,2,0
1644986718.677792,12,0,9804.0,4852.0,16.0,8.0,127.0,3156.0,2,0
1644986718.687096,12,0,9804.0,4638.0,6.0,4.0,127.0,3156.0,2,0
1644986718.696686,12,0,9804.0,4638.0,0.0,0.0,0.0,3156.0,2,0
1644986718.696952,12,1,9804.0,4638.0,0.0,0.0,0.0,3156.0,2,0
